source,target,seed,coop_acc,coop_log,safe_acc,safe_log,legacy_acc,legacy_log,safe_delta,legacy_delta,safe_minus_legacy,complete
caltech101,oxford_pets,1,72.0,third_party/CoOp_clean/output/xd/test/oxford_pets/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed1/log.txt,66.7,third_party/CoOp_clean/output/xd/test/oxford_pets/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/log.txt,68.8,third_party/CoOp_clean/output/xd/test/oxford_pets/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/log.txt,-5.299999999999997,-3.200000000000003,-2.0999999999999943,True
caltech101,oxford_pets,2,72.1,third_party/CoOp_clean/output/xd/test/oxford_pets/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed2/log.txt,76.6,third_party/CoOp_clean/output/xd/test/oxford_pets/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/log.txt,76.8,third_party/CoOp_clean/output/xd/test/oxford_pets/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/log.txt,4.5,4.700000000000003,-0.20000000000000284,True
caltech101,oxford_pets,3,73.4,third_party/CoOp_clean/output/xd/test/oxford_pets/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed3/log.txt,69.1,third_party/CoOp_clean/output/xd/test/oxford_pets/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/log.txt,72.5,third_party/CoOp_clean/output/xd/test/oxford_pets/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/log.txt,-4.300000000000011,-0.9000000000000057,-3.4000000000000057,True
caltech101,eurosat,1,14.1,third_party/CoOp_clean/output/xd/test/eurosat/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed1/log.txt,25.7,third_party/CoOp_clean/output/xd/test/eurosat/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/log.txt,23.8,third_party/CoOp_clean/output/xd/test/eurosat/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/log.txt,11.6,9.700000000000001,1.8999999999999986,True
caltech101,eurosat,2,27.3,third_party/CoOp_clean/output/xd/test/eurosat/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed2/log.txt,28.8,third_party/CoOp_clean/output/xd/test/eurosat/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/log.txt,24.9,third_party/CoOp_clean/output/xd/test/eurosat/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/log.txt,1.5,-2.400000000000002,3.900000000000002,True
caltech101,eurosat,3,21.9,third_party/CoOp_clean/output/xd/test/eurosat/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed3/log.txt,21.1,third_party/CoOp_clean/output/xd/test/eurosat/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/log.txt,20.5,third_party/CoOp_clean/output/xd/test/eurosat/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/log.txt,-0.7999999999999972,-1.3999999999999986,0.6000000000000014,True
caltech101,dtd,1,32.8,third_party/CoOp_clean/output/xd/test/dtd/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed1/log.txt,30.3,third_party/CoOp_clean/output/xd/test/dtd/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/log.txt,29.0,third_party/CoOp_clean/output/xd/test/dtd/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/log.txt,-2.4999999999999964,-3.799999999999997,1.3000000000000007,True
caltech101,dtd,2,28.5,third_party/CoOp_clean/output/xd/test/dtd/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed2/log.txt,33.1,third_party/CoOp_clean/output/xd/test/dtd/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/log.txt,33.5,third_party/CoOp_clean/output/xd/test/dtd/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/log.txt,4.600000000000001,5.0,-0.3999999999999986,True
caltech101,dtd,3,26.7,third_party/CoOp_clean/output/xd/test/dtd/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed3/log.txt,31.7,third_party/CoOp_clean/output/xd/test/dtd/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/log.txt,30.0,third_party/CoOp_clean/output/xd/test/dtd/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/log.txt,5.0,3.3000000000000007,1.6999999999999993,True
caltech101,food101,1,66.6,third_party/CoOp_clean/output/xd/test/food101/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed1/log.txt,69.2,third_party/CoOp_clean/output/xd/test/food101/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/log.txt,70.3,third_party/CoOp_clean/output/xd/test/food101/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/log.txt,2.6000000000000085,3.700000000000003,-1.0999999999999943,True
caltech101,food101,2,62.7,third_party/CoOp_clean/output/xd/test/food101/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed2/log.txt,64.7,third_party/CoOp_clean/output/xd/test/food101/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/log.txt,64.0,third_party/CoOp_clean/output/xd/test/food101/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/log.txt,2.0,1.2999999999999972,0.7000000000000028,True
caltech101,food101,3,65.5,third_party/CoOp_clean/output/xd/test/food101/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed3/log.txt,65.7,third_party/CoOp_clean/output/xd/test/food101/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/log.txt,65.9,third_party/CoOp_clean/output/xd/test/food101/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/log.txt,0.20000000000000284,0.4000000000000057,-0.20000000000000284,True
caltech101,oxford_flowers,1,52.1,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed1/log.txt,50.1,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/log.txt,52.1,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/log.txt,-2.0,0.0,-2.0,True
