source,target,coop,safe_real,safe_img,real_minus_coop,img_minus_coop,img_minus_real
Caltech101,oxford_pets,72.5,70.8,73.53,-1.7,1.03,2.73
Caltech101,eurosat,21.1,25.2,24.07,4.1,2.97,-1.13
Caltech101,dtd,29.33,31.7,30.8,2.37,1.47,-0.9
Caltech101,food101,64.93,66.53,68.4,1.6,3.47,1.87
Caltech101,oxford_flowers,48.6,49.33,49.37,0.73,0.77,0.03
Caltech101,stanford_cars,50.33,47.9,49.37,-2.43,-0.97,1.47
Caltech101,fgvc_aircraft,11.5,11.2,11.73,-0.3,0.23,0.53
Caltech101,ucf101,47.77,49.1,48.4,1.33,0.63,-0.7
Caltech101,sun397,48.33,48.9,50.0,0.57,1.67,1.1
Food101,oxford_pets,56.1,50.37,49.1,-5.73,-7.0,-1.27
Food101,eurosat,23.9,22.03,25.77,-1.87,1.87,3.73
Food101,dtd,24.97,21.7,22.33,-3.27,-2.63,0.63
Food101,oxford_flowers,37.37,38.83,39.23,1.47,1.87,0.4
Food101,caltech101,63.43,65.93,66.53,2.5,3.1,0.6
Food101,stanford_cars,47.77,49.9,50.17,2.13,2.4,0.27
Food101,fgvc_aircraft,6.17,6.6,5.87,0.43,-0.3,-0.73
Food101,ucf101,48.17,47.53,49.03,-0.63,0.87,1.5
Food101,sun397,38.67,39.37,38.9,0.7,0.23,-0.47
SUN397,oxford_pets,57.63,61.23,57.53,3.6,-0.1,-3.7
SUN397,eurosat,26.6,25.93,26.67,-0.67,0.07,0.73
SUN397,dtd,22.6,24.53,24.13,1.93,1.53,-0.4
SUN397,food101,61.23,62.6,61.37,1.37,0.13,-1.23
SUN397,oxford_flowers,39.83,40.67,40.57,0.83,0.73,-0.1
SUN397,caltech101,73.07,77.4,74.5,4.33,1.43,-2.9
SUN397,stanford_cars,48.73,46.9,48.03,-1.83,-0.7,1.13
SUN397,fgvc_aircraft,9.37,8.33,6.63,-1.03,-2.73,-1.7
SUN397,ucf101,48.27,49.8,47.4,1.53,-0.87,-2.4
OxfordPets,eurosat,22.53,19.43,19.57,-3.1,-2.97,0.13
OxfordPets,dtd,22.03,23.9,23.9,1.87,1.87,0.0
OxfordPets,food101,46.53,51.1,50.83,4.57,4.3,-0.27
OxfordPets,oxford_flowers,40.33,43.17,43.1,2.83,2.77,-0.07
OxfordPets,caltech101,69.4,71.13,71.07,1.73,1.67,-0.07
OxfordPets,stanford_cars,44.37,47.03,47.13,2.67,2.77,0.1
OxfordPets,fgvc_aircraft,5.7,7.17,7.33,1.47,1.63,0.17
OxfordPets,ucf101,38.83,42.47,42.2,3.63,3.37,-0.27
OxfordPets,sun397,35.77,37.97,37.9,2.2,2.13,-0.07
