formal_key,issue,override,candidates
dtd|CoOp|baseline|k16|m16|seed1,duplicate_requires_manual_confirmation,,/workspace/meta_prompt_1/third_party/CoOp_clean/output/dtd/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend/seed1/log.txt || /workspace/meta_prompt_1/third_party/CoOp_clean/output/dtd/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend_seed1_cachebuild/log.txt || /workspace/meta_prompt_1/third_party/CoOp_clean/output/dtd/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend_seed1_smoke/log.txt
dtd|CoOp|baseline|k16|m16|seed2,duplicate_requires_manual_confirmation,,/workspace/meta_prompt_1/third_party/CoOp_clean/output/dtd/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend/seed2/log.txt || /workspace/meta_prompt_1/third_party/CoOp_clean/output/dtd/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend_seed2_cachebuild/log.txt
dtd|CoOp|baseline|k16|m16|seed3,duplicate_requires_manual_confirmation,,/workspace/meta_prompt_1/third_party/CoOp_clean/output/dtd/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend/seed3/log.txt || /workspace/meta_prompt_1/third_party/CoOp_clean/output/dtd/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend_seed3_cachebuild/log.txt
eurosat|CoOp|baseline|k16|m16|seed1,duplicate_requires_manual_confirmation,,/workspace/meta_prompt_1/third_party/CoOp_clean/output/eurosat/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend/seed1/log.txt || /workspace/meta_prompt_1/third_party/CoOp_clean/output/eurosat/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend_seed1_fresh/log.txt
eurosat|CoOp|baseline|k16|m16|seed2,duplicate_requires_manual_confirmation,,/workspace/meta_prompt_1/third_party/CoOp_clean/output/eurosat/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend/seed2/log.txt || /workspace/meta_prompt_1/third_party/CoOp_clean/output/eurosat/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend_seed2_fresh/log.txt
eurosat|CoOp|baseline|k16|m16|seed3,duplicate_requires_manual_confirmation,,/workspace/meta_prompt_1/third_party/CoOp_clean/output/eurosat/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend/seed3/log.txt || /workspace/meta_prompt_1/third_party/CoOp_clean/output/eurosat/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend_seed3_fresh/log.txt
food101|CoOp|baseline|k16|m16|seed1,duplicate_requires_manual_confirmation,,/workspace/meta_prompt_1/third_party/CoOp_clean/output/food101/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend/seed1/log.txt || /workspace/meta_prompt_1/third_party/CoOp_clean/output/food101/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend_seed1_cachebuild/log.txt || /workspace/meta_prompt_1/third_party/CoOp_clean/output/food101/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend_seed1_smoke/log.txt
food101|CoOp|baseline|k16|m16|seed2,duplicate_requires_manual_confirmation,,/workspace/meta_prompt_1/third_party/CoOp_clean/output/food101/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend/seed2/log.txt || /workspace/meta_prompt_1/third_party/CoOp_clean/output/food101/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend_seed2_cachebuild/log.txt
food101|CoOp|baseline|k16|m16|seed3,duplicate_requires_manual_confirmation,,/workspace/meta_prompt_1/third_party/CoOp_clean/output/food101/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend/seed3/log.txt || /workspace/meta_prompt_1/third_party/CoOp_clean/output/food101/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend_seed3_cachebuild/log.txt
food101|CoOpPriorRes|no_b|k16|m16|seed1,duplicate_requires_manual_confirmation,,/workspace/meta_prompt_1/third_party/CoOp_clean/output/food101/CoOpPriorRes/rn50_ep50_16shots/nctx16_cscFalse_ctpend_seed1_nob_fresh/log.txt || /workspace/meta_prompt_1/third_party/CoOp_clean/output/food101/CoOpPriorRes/rn50_ep50_16shots/nctx16_cscFalse_ctpend_seed1_nob_smoke/log.txt
oxford_flowers|CoOp|baseline|k16|m16|seed1,duplicate_requires_manual_confirmation,,/workspace/meta_prompt_1/third_party/CoOp_clean/output/oxford_flowers/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend/seed1/log.txt || /workspace/meta_prompt_1/third_party/CoOp_clean/output/oxford_flowers/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend_seed1_cachebuild/log.txt || /workspace/meta_prompt_1/third_party/CoOp_clean/output/oxford_flowers/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend_seed1_smoke2/log.txt
oxford_flowers|CoOp|baseline|k16|m16|seed2,duplicate_requires_manual_confirmation,,/workspace/meta_prompt_1/third_party/CoOp_clean/output/oxford_flowers/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend/seed2/log.txt || /workspace/meta_prompt_1/third_party/CoOp_clean/output/oxford_flowers/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend_seed2_cachebuild/log.txt
oxford_flowers|CoOp|baseline|k16|m16|seed3,duplicate_requires_manual_confirmation,,/workspace/meta_prompt_1/third_party/CoOp_clean/output/oxford_flowers/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend/seed3/log.txt || /workspace/meta_prompt_1/third_party/CoOp_clean/output/oxford_flowers/CoOp/rn50_ep50_16shots/nctx16_cscFalse_ctpend_seed3_cachebuild/log.txt
