dataset,method,shots,nctx,seed,accuracy,macro_f1,use_b,b_loss_weight,meta_lr_ratio,setting_tag,log_path,is_fresh,is_smoke,is_cachebuild,status,exclude_reason,formal_key
dtd,CoOp,1,2,1,44.9,42.8,False,1.0,0.1,baseline,/workspace/meta_prompt_1/third_party/CoOp_clean/output/dtd/CoOp/rn50_ep50_1shots/nctx2_cscFalse_ctpend/seed1/log.txt,False,False,False,kept,,dtd|CoOp|baseline|k1|m2|seed1
dtd,CoOp,1,2,2,45.0,42.6,False,1.0,0.1,baseline,/workspace/meta_prompt_1/third_party/CoOp_clean/output/dtd/CoOp/rn50_ep50_1shots/nctx2_cscFalse_ctpend/seed2/log.txt,False,False,False,kept,,dtd|CoOp|baseline|k1|m2|seed2
dtd,CoOp,1,2,3,41.9,39.7,False,1.0,0.1,baseline,/workspace/meta_prompt_1/third_party/CoOp_clean/output/dtd/CoOp/rn50_ep50_1shots/nctx2_cscFalse_ctpend/seed3/log.txt,False,False,False,kept,,dtd|CoOp|baseline|k1|m2|seed3
dtd,CoOp,1,4,1,42.7,41.3,False,1.0,0.1,baseline,/workspace/meta_prompt_1/third_party/CoOp_clean/output/dtd/CoOp/rn50_ep50_1shots/nctx4_cscFalse_ctpend/seed1/log.txt,False,False,False,kept,,dtd|CoOp|baseline|k1|m4|seed1
dtd,CoOp,1,4,2,45.4,42.5,False,1.0,0.1,baseline,/workspace/meta_prompt_1/third_party/CoOp_clean/output/dtd/CoOp/rn50_ep50_1shots/nctx4_cscFalse_ctpend/seed2/log.txt,False,False,False,kept,,dtd|CoOp|baseline|k1|m4|seed2
dtd,CoOp,1,4,3,40.4,38.0,False,1.0,0.1,baseline,/workspace/meta_prompt_1/third_party/CoOp_clean/output/dtd/CoOp/rn50_ep50_1shots/nctx4_cscFalse_ctpend/seed3/log.txt,False,False,False,kept,,dtd|CoOp|baseline|k1|m4|seed3
dtd,CoOp,1,6,1,37.8,35.5,False,1.0,0.1,baseline,/workspace/meta_prompt_1/third_party/CoOp_clean/output/dtd/CoOp/rn50_ep50_1shots/nctx6_cscFalse_ctpend/seed1/log.txt,False,False,False,kept,,dtd|CoOp|baseline|k1|m6|seed1
dtd,CoOp,1,6,2,23.2,15.1,False,1.0,0.1,baseline,/workspace/meta_prompt_1/third_party/CoOp_clean/output/dtd/CoOp/rn50_ep50_1shots/nctx6_cscFalse_ctpend/seed2/log.txt,False,False,False,kept,,dtd|CoOp|baseline|k1|m6|seed2
dtd,CoOp,1,6,3,43.2,40.1,False,1.0,0.1,baseline,/workspace/meta_prompt_1/third_party/CoOp_clean/output/dtd/CoOp/rn50_ep50_1shots/nctx6_cscFalse_ctpend/seed3/log.txt,False,False,False,kept,,dtd|CoOp|baseline|k1|m6|seed3
dtd,CoOp,1,8,1,41.7,39.9,False,1.0,0.1,baseline,/workspace/meta_prompt_1/third_party/CoOp_clean/output/dtd/CoOp/rn50_ep50_1shots/nctx8_cscFalse_ctpend/seed1/log.txt,False,False,False,kept,,dtd|CoOp|baseline|k1|m8|seed1
